record_id,system_name,system_type,state_or_region,latitude,longitude,coordinate_status,ecological_region,annual_rainfall_mm_est,soil_type,water_harvesting_principle,cultural_environmental_reason,primary_purpose,advantages,current_condition,maintenance_model,revival_efforts,government_initiatives,groundwater_recharge_potential,water_storage_type,community_management,climate_resilience_score,sustainability_score,data_source_type,contributor,image_url,contextual_details,source_reference,cluster,cluster_name
IWMS011,Apatani,Apatani,Arunachal Pradesh,27.44131,93.72632,Representative regional coordinate - VERIFY before publication,Humid mountain,2142,Mountain/lateritic,Terraced fields regulate/reuse stream water for integrated agriculture,high rainfall; valley agriculture,Integrated agriculture,water efficiency; erosion control; integrated farming,Unknown,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Integrated,Unknown,76.2,50.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,2,Cluster 2 - Very High Rainfall
IWMS012,Zabo,Zabo,Nagaland,25.78306,94.20659,Representative regional coordinate - VERIFY before publication,Humid mountain,1511,Mountain/lateritic,Runoff from forested hills collected and routed through ponds/fields,high rainfall; steep terrain; integrated farming,Agriculture / livestock,multi-use water; erosion control; reuse,Functional,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Underground,High,66.7,87.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,2,Cluster 2 - Very High Rainfall
IWMS013,Bamboo Drip Irrigation,Bamboo Drip Irrigation,Meghalaya,25.49796,91.77078,Representative regional coordinate - VERIFY before publication,Humid mountain,2239,Mountain/lateritic,Bamboo channels convey small controlled flows from springs/streams,steep terrain; smallholder agriculture,Smallholder irrigation,low-cost; gravity-fed; precise delivery,Needs restoration,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Surface,Low,88.7,66.3,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,2,Cluster 2 - Very High Rainfall
IWMS014,Kere,Kere,Karnataka,15.32184,75.63774,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,841,Red/black/alluvial,Village tank stores runoff for irrigation and recharge,seasonal rainfall; agriculture,Irrigation / recharge,storage; recharge; flood moderation,Functional,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Surface,Low,90.1,64.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS015,Kalyani,Kalyani,Karnataka,15.3996,75.6638,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,679,Red/black/alluvial,Masonry temple tank stores rain/runoff and interacts with groundwater,temple/community use; seasonal water,Community/cultural water,storage; cultural use; recharge,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Surface,Moderate,60.1,67.3,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS016,Katta,Katta,Karnataka,15.31407,75.72195,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,785,Red/black/alluvial,Small check dam slows and stores stream/runoff,seasonal streams; agriculture,Irrigation / recharge,recharge; irrigation; low cost,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,Low,71.0,76.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS017,Eri,Eri,Tamil Nadu,11.1712,78.62962,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,914,Red/black/alluvial,Interconnected tank network stores monsoon runoff and releases it for irrigation,seasonal monsoon; agriculture,Irrigation / recharge,storage; recharge; flood moderation,Functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Underground,High,78.5,71.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS018,Oorani,Oorani,Tamil Nadu,11.06523,78.59285,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,686,Red/black/alluvial,Village pond collects and stores rainwater,drinking/community water needs,Drinking water / community use,local storage; recharge,Functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Surface,Low,57.8,78.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS019,Surangam,Surangam,Kerala,10.78712,76.31055,Representative regional coordinate - VERIFY before publication,Humid lateritic,2238,Lateritic,Horizontal groundwater tunnel drains water by gravity,lateritic hills; spring/groundwater access,Domestic water / irrigation,gravity supply; low evaporation; low energy,Partially functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Channel/diversion,Unknown,62.6,71.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,3,Cluster 3 - Very High Rainfall
IWMS020,Korambu,Korambu,Kerala,10.75326,76.25345,Representative regional coordinate - VERIFY before publication,Humid monsoon,2667,Lateritic/alluvial,Temporary river-bank barrier diverts water toward fields,seasonal river flow; paddy farming,Paddy irrigation,low-cost diversion; irrigation,Unknown,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Surface,High,71.1,64.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,3,Cluster 3 - Very High Rainfall
IWMS021,Phad,Phad,Maharashtra,19.71143,75.7968,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,777,Red/black/alluvial,Diversion weir and channel network distributes river water to farm blocks,seasonal rivers; community irrigation,Irrigation,gravity irrigation; shared allocation,Partially functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,Low,73.5,51.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS022,Bhandara,Bhandara,Maharashtra,19.83988,75.60809,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,931,Red/black/alluvial,Low diversion structure raises/diverts river water,seasonal river flows; agriculture,Irrigation,simple diversion; gravity irrigation,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,Moderate,71.3,70.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS023,Ramtek Model,Ramtek Model,Maharashtra,19.74553,75.79752,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,680,Red/black/alluvial,Tank cascade/catchment management stores and transfers runoff,monsoon variability; agriculture,Irrigation / recharge,storage cascade; recharge; runoff control,Unknown,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Underground,Unknown,66.4,58.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS024,Pat System,Pat System,Madhya Pradesh,23.30718,77.46532,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,934,Red/black/alluvial,Small diversion structures route streamwater through channels to fields,hilly terrain; seasonal streams,Irrigation,gravity irrigation; low energy,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,High,78.2,67.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS025,Chandela/Bundela Tank,Chandela/Bundela Tank,Madhya Pradesh,23.27013,77.46951,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,679,Red/black/alluvial,Large historic tanks capture monsoon runoff,Bundelkhand seasonality and agriculture,Irrigation / community water,storage; recharge; drought buffering,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Integrated,High,89.1,46.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS026,Virda,Virda,Gujarat,22.15645,71.08631,Representative regional coordinate - VERIFY before publication,Arid/coastal,420,Sandy/saline,Freshwater lenses in sandy terrain are accessed through shallow pits,Kutch water scarcity and saline surroundings,Drinking water,local freshwater access; simple construction,Functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Surface,High,71.8,75.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS027,Karez,Karez,Rajasthan,26.27008,73.00547,Representative regional coordinate - VERIFY before publication,Arid,489,Sandy/loamy,Underground gallery conveys groundwater by gravity,arid climate; evaporation reduction,Domestic water / irrigation,gravity supply; low evaporation,Partially functional,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Channel/diversion,Moderate,81.9,63.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS028,Zing,Zing,Ladakh,34.102,77.53588,Representative regional coordinate - VERIFY before publication,Cold arid,89,Sandy/gravelly,Small storage collects seasonal glacial/snowmelt water,cold-arid agriculture dependent on meltwater,Agriculture / settlement water,seasonal storage; gravity distribution,Unknown,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,Low,60.3,47.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,7,Cluster 7 - Moderate Rainfall
IWMS029,Cheruvu,Cheruvu,Telangana/Andhra Pradesh,16.46376,80.54651,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,775,Red/black/alluvial,Village tank stores runoff for irrigation/recharge,seasonal rainfall; agriculture,Irrigation / recharge,storage; recharge; flood moderation,Needs restoration,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Integrated,Low,79.5,56.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS030,Jackwell,Jackwell,Andaman & Nicobar,11.78694,92.77695,Representative regional coordinate - VERIFY before publication,Humid tropical,2508,Alluvial/lateritic,Tree/canopy runoff collected and conveyed to pits/wells,island settlements; heavy rainfall,Local water supply,simple collection; local supply,Needs restoration,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,Low,59.6,71.5,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,4,Cluster 4 - Very High Rainfall
IWMS031,Stepwell - representative site 31,Stepwell,Rajasthan,26.15569,73.01277,Representative regional coordinate - VERIFY before publication,Semi-arid,589,Sandy/loamy,Groundwater access via deep stepped masonry; rainwater infiltration/storage,"community water supply, shade, social/religious use",Drinking water / community use,water access; passive cooling; durable structure,Partially functional,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Underground,Unknown,65.0,62.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS032,Johad - representative site 32,Johad,Rajasthan,26.34796,72.89219,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,616,Sandy/loamy,Earthen check dam captures monsoon runoff and promotes aquifer recharge,seasonal rainfall; livestock; agriculture; community water security,Groundwater recharge / livestock / agriculture,low cost; recharge; soil moisture; drought resilience,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Groundwater-linked,Low,61.5,73.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS033,Khadin - representative site 33,Khadin,Rajasthan,26.23604,73.04936,Representative regional coordinate - VERIFY before publication,Arid,393,Sandy/loamy,Earthen bund retains runoff on agricultural land and conserves soil moisture,very low rainfall; dryland farming,Dryland agriculture,runoff harvesting; crop moisture; no pumping required,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,High,88.4,69.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
